Code,产品名称
AAPL.US,苹果
MSFT.US,微软
GOOG.US,谷歌C
GOOGL.US,谷歌A
AMZN.US,亚马逊
NVDA.US,英伟达
BRK.A.US,伯克希尔哈撒韦 A
BRK.B.US,伯克希尔哈撒韦 B
TSLA.US,特斯拉
META.US,Meta
LLY.US,礼来
UNH.US,联合健康
XOM.US,埃克森美孚
TSM.US,台积电
V.US,维萨
WMT.US,沃尔玛
JPM.US,摩根大通
JNJ.US,强生
NVO.US,诺和诺德
MA.US,万事达
PG.US,宝洁
AVGO.US,博通
CVX.US,雪佛龙
HD.US,家得宝
ORCL.US,甲骨文
MRK.US,默沙东
ABBV.US,艾伯维
TM.US,丰田汽车
KO.US,可口可乐
COST.US,好市多
PEP.US,百事
ADBE.US,奥多比
ASML.US,阿斯麦
BABA.US,阿里巴巴
BAC.US,美国银行
SHEL.US,壳牌
CSCO.US,思科
AZN.US,阿斯利康
NVS.US,诺华
CRM.US,赛富时
ACN.US,埃森哲
MCD.US,麦当劳
TMO.US,赛默飞世尔
CMCSA.US,康卡斯特
PFE.US,辉瑞
DHR.US,丹纳赫
LIN.US,Linde
ABT.US,雅培
NFLX.US,奈飞
TMUS.US,T-Mobile US
SAP.US,SAP
TTE.US,道达尔
HSBC.US,汇丰控股
AMD.US,超威半导体
WFC.US,富国银行
DIS.US,迪士尼
PM.US,菲利普莫里斯
TXN.US,德州仪器
BHP.US,必和必拓集团
AMGN.US,安进
INTC.US,英特尔
COP.US,康菲石油
INTU.US,财捷
VZ.US,威瑞森通信
CAT.US,卡特彼勒
NKE.US,耐克
MS.US,摩根士丹利
NEE.US,新纪元能源
SNY.US,赛诺菲-安万特
IBM.US,IBM
KOF.US,可口可乐凡萨瓶装
UPS.US,联合包裹
UNP.US,联合太平洋
PDD.US,拼多多
UL.US,联合利华
HON.US,霍尼韦尔
RY.US,加拿大皇家银行
BMY.US,百时美施贵宝
LOW.US,劳氏
GE.US,通用电气
QCOM.US,高通
BA.US,波音
SPGI.US,标普全球
AMAT.US,应用材料
NOW.US,ServiceNow
AXP.US,美国运通
BUD.US,百威英博
TD.US,多伦多道明银行
BP.US,英国石油
DE.US,迪尔
HDB.US,HDFC银行
BKNG.US,Booking Holdings
SYK.US,史赛克
T.US,美国电话电报
GS.US,高盛
SBUX.US,星巴克
MUFG.US,三菱日联金融
MDT.US,美敦力
PLD.US,安博
ELV.US,Elevance Health
